asin,title,brand,rating,ratings_count,category,prime_eligible,latest_price,last_price_update
B0C4QD5VPB,The Women: A Novel,Kristin Hannah,4.7,350493,Books,0,,
0857197681,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,4.7,73946,Books,0,39.58,2026-09-03 11:58:22
1455570249,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,52076,Books,0,41.75,2026-09-03 11:39:52
B08GB58KD5,Project Hail Mary,Andy Weir,4.7,278662,Books,0,,
B00NY8OTR0,The Nightingale: A Novel,Kristin Hannah,4.7,420948,Books,0,,
B0FTB8MDVN,The Calamity Club: A Novel,Kathryn Stockett,4.7,62085,Books,0,,
1954839367,As a Man Thinketh - The Original 1902 Classic (includes The Mastery of Destiny) (Reader's Library Classics),James Allen,4.7,3932,Books,0,27.07,2026-09-03 11:39:52
1668236516,Theo of Golden: A Novel,Allen Levi,4.7,178185,Books,0,58.65,2026-09-03 11:39:52
0143127748,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,84959,Books,0,63.94,2026-09-03 11:39:52
B07RFSSYBH,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,149693,Books,0,,
0008609217,"The Lost Bookshop: A most charming and uplifting novel, the perfect gift for book lovers!",Generic,4.4,0,best sellers books,0,,
0063204169,Remarkably Bright Creatures: A Novel,Generic,4.6,0,best sellers books,0,,
0143130722,Ikigai: The Japanese Secret to a Long and Happy Life,Generic,4.5,0,best sellers books,0,45.14,2026-09-03 11:39:52
0345483448,Summer Island: A Novel,Generic,4.4,0,best sellers books,0,48.94,2026-09-03 11:39:52
0525564233,The Most Fun We Ever Had (Reese's Book Club Pick): A Novel,Generic,4.1,0,best sellers books,0,45.14,2026-09-03 11:39:52
0593312074,The Frozen River: A GMA Book Club Pick: A Novel,Generic,4.6,0,best sellers books,0,50.47,2026-09-03 11:39:52
0593420322,Trust (Pulitzer Prize Winner),Generic,4.1,0,best sellers books,0,40.31,2026-09-03 11:39:52
0593438531,Every Summer After,Generic,4.5,0,best sellers books,0,46.54,2026-09-03 11:39:52
0593492935,First Lie Wins: Reese's Book Club: A Novel,Generic,4.3,0,best sellers books,0,45.14,2026-09-03 11:39:52
0593653440,All the Broken Places: A Novel,Generic,4.6,0,best sellers books,0,54.31,2026-09-03 11:39:52
